Step,Temp,f_TempAve,Press,f_PressAve,f_PEAve_Mol,f_DensAve
730,296.32696,296.32696,-77.022378,-77.022378,-11.194079,0.97842795
740,297.35278,297.35278,-35.725197,-35.725197,-11.198133,0.97887057
750,297.8979,297.8979,-198.44017,-198.44017,-11.198888,0.97925032
760,298.75554,298.75554,-251.27093,-251.27093,-11.201809,0.97961583
770,300.17312,300.17312,-357.02169,-357.02169,-11.208468,0.97998996
780,298.12445,298.12445,-195.32624,-195.32624,-11.194853,0.98038552
790,299.51235,299.51235,-204.60998,-204.60998,-11.201431,0.98076604
800,300.94342,300.94342,-370.10156,-370.10156,-11.208458,0.98114201
810,298.5932,298.5932,-182.95817,-182.95817,-11.19383,0.9815443
820,301.33742,301.33742,-273.83924,-273.83924,-11.210033,0.98193957
830,302.37122,302.37122,-360.2267,-360.2267,-11.217314,0.98234601
840,300.06427,300.06427,-253.28513,-253.28513,-11.20646,0.982781
850,299.90514,299.90514,-296.01298,-296.01298,-11.209317,0.98322117
860,299.75528,299.75528,-239.85691,-239.85691,-11.213012,0.98367136
870,298.93297,298.93297,-94.211184,-94.211184,-11.213566,0.98411687
880,299.0625,299.0625,-224.15247,-224.15247,-11.220429,0.98453511
890,300.91049,300.91049,-241.51898,-241.51898,-11.238863,0.98495661
900,297.61423,297.61423,-85.91312,-85.91312,-11.22701,0.98537401
910,298.00764,298.00764,-149.64364,-149.64364,-11.236955,0.98576148
920,300.063,300.063,-209.10965,-209.10965,-11.256854,0.98613379
930,297.55808,297.55808,-262.24059,-262.24059,-11.249735,0.98650894
940,298.70866,298.70866,-325.45776,-325.45776,-11.264571,0.98690849
950,295.47233,295.47233,-300.4812,-300.4812,-11.253115,0.98734172
960,295.9961,295.9961,-268.87058,-268.87058,-11.263563,0.9878026
970,295.50211,295.50211,-156.43137,-156.43137,-11.267004,0.98827628
980,296.54148,296.54148,-205.94669,-205.94669,-11.278782,0.98873857
990,297.83477,297.83477,-213.47809,-213.47809,-11.291553,0.98919802
1000,296.85732,296.85732,-123.21445,-123.21445,-11.290436,0.98965089
